Master Category,Subcategory,Date,Location,Payee,Description,Payment Method,Amount
Auto/Transportation,Gasoline,10/20/2021,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$33.00 
Auto/Transportation,Gasoline,10/16/2021,"PALM BEACH GA,FL",SUNOCO,"SUNOCO 0846265700 PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$26.75 
Auto/Transportation,Gasoline,10/13/2021,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$41.00 
Auto/Transportation,Gasoline,10/5/2021,"N PALM BEACH ,FL",SHELL,"SHELL OIL 57545115305 N PALM BEACH ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$38.00 
Auto/Transportation,Parking/Tolls,11/18/2022,"FORT LAUDERDA,FL",ARENA OPERATING,"ARENA OPERATING COMPANY L FORT LAUDERDA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$35.00 
Auto/Transportation,Parking/Tolls,6/14/2022, ,SUNPASS,SUNPASS          INTERNET   220610 043000099064704 LUN CING                                         ,EVERYDAY CHECKING ...6801,$10.00 
Auto/Transportation,Parking/Tolls,3/8/2022, ,SUNPASS,SUNPASS          INTERNET   220306 043000097827394 LUN CING                                         ,EVERYDAY CHECKING ...6801,$10.00 
Auto/Transportation,Parking/Tolls,2/16/2022, ,SUNPASS,SUNPASS          INTERNET   220214 043000093655656 LUN CING                                         ,EVERYDAY CHECKING ...6801,$33.50 
Bills/Utilities,Phone/Internet,8/11/2022,"NORTH PALM BE,FL",T-MOBILE,"BOOST MOBILE (NORTHLAKE B NORTH PALM BE,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$15.90 
Bills/Utilities,Phone/Internet,3/7/2022,"PALM BEACH   ,FL",T-MOBILE,"BOOST MOBILE PALM BEACH   ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$302.49 
Business/Office,Office Supplies/Furniture,7/22/2022,"PALM BEACH GA,FL",OFFICE DEPOT,"OFFICE DEPOT #211 PALM BEACH GA,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$149.76 
Business/Office,Postage/Shipping,2/6/2023,"561-8449997  ,FL",THE UPS STORE,"THE UPS STORE 3410 561-8449997  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$115.61 
Business/Office,Postage/Shipping,4/30/2022,"561-8449997  ,FL",THE UPS STORE,"THE UPS STORE 3410 561-8449997  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$13.00 
Business/Office,Postage/Shipping,1/10/2022,"800-238-3150 ,TN",UNITED STATES POSTAL SERVICE,"USPS CHANGE OF ADDRESS 800-238-3150 ,TN",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$1.10 
Business/Office,Wholesale,2/18/2023,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$119.89 
Business/Office,Wholesale,1/17/2023,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$27.36 
Business/Office,Wholesale,12/19/2022,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$107.46 
Business/Office,Wholesale,12/9/2022,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$109.70 
Business/Office,Wholesale,10/14/2022,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$176.74 
Business/Office,Wholesale,10/4/2022,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$53.64 
Business/Office,Wholesale,8/25/2022,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$95.26 
Business/Office,Wholesale,5/20/2022,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$94.49 
Business/Office,Wholesale,4/15/2022,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$172.58 
Business/Office,Wholesale,2/5/2022,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$224.83 
Business/Office,Wholesale,11/24/2021,"RIVIERA BEACH,FL",RESTAURANT DEPOT,"RESTAURANT DEPOT RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$208.83 
Business/Office,Other Business/Office,6/16/2022,"800-523-4448 ,FL",SHOES FOR CREWS,"SHOES FOR CREWS LLC 800-523-4448 ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$95.98 
Children,Daycare,5/18/2022,"NORTH PALM BE,FL",HAPPY HOUSE,"HAPPY HOUSE PALM BEACH NORTH PALM BE,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$12.85 
Children,Daycare,5/11/2022,"NORTH PALM BE,FL",HAPPY HOUSE,"HAPPY HOUSE PALM BEACH NORTH PALM BE,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$25.95 
Entertainment,Other Entertainment,9/8/2022,"800-653-8000 ,CA",TICKETMASTER,"TM *MAVERICK CITY MUSI 800-653-8000 ,CA",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$148.65 
Entertainment,Other Entertainment,6/20/2022,"800-261-2576 ,IA",GRADIMAGES,"EPG*GRAD IMAGES 800-261-2576 ,IA",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$123.30 
Entertainment,Other Entertainment,12/9/2021,"ADOBE.COM    ,CA",ADOBE,"ADOBE  *800-833-6687 ADOBE.COM    ,CA",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,($9.65)
Entertainment,Other Entertainment,12/9/2021,"ADOBE.COM    ,CA",ADOBE,"ADOBE  *800-833-6687 ADOBE.COM    ,CA",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,($9.99)
Entertainment,Other Entertainment,12/9/2021,"ADOBE.LY/ENUS,CA",ADOBE,"ADOBE  *800-833-6687 ADOBE.LY/ENUS,CA",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$9.99 
Entertainment,Other Entertainment,11/23/2021,"ADOBE.LY/ENUS,CA",ADOBE,"ADOBE  *800-833-6687 ADOBE.LY/ENUS,CA",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$19.99 
Entertainment,Other Entertainment,11/21/2021,"LAKE PARK    ,FL",MIAMI GRILL,"MIAMI SUBS - 60 LAKE PARK    ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$15.18 
Entertainment,Other Entertainment,10/23/2021,"ADOBE.LY/ENUS,CA",ADOBE,"ADOBE  *800-833-6687 ADOBE.LY/ENUS,CA",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$19.99 
Food/Drink,Coffee Shops,10/28/2022,"LAKE WORTH   ,FL",TEA PLUS,"TEA PLUS LAKE WORTH   ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$23.33 
Food/Drink,Fast Food,2/24/2023,"954-448-3120 ,FL",DOMINOS PIZZA,"DOMINO'S 5080 954-448-3120 ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$42.75 
Food/Drink,Fast Food,2/22/2023,"156-1844384  ,FL",MCDONALD'S,"McDonalds 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$7.91 
Food/Drink,Fast Food,2/18/2023,"WEST PALM    ,FL",CHINA WOK,"CHINA WOK WEST PALM    ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$16.53 
Food/Drink,Fast Food,2/1/2023,"156-1844384  ,FL",MCDONALD'S,"McDonalds 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$8.86 
Food/Drink,Fast Food,1/28/2023,"949-524-4000 ,CA",CHIPOTLE,"CHIPOTLE ONLINE 949-524-4000 ,CA",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$13.80 
Food/Drink,Fast Food,1/28/2023,"156-1626891  ,FL",MCDONALD'S,"McDonalds 5892 156-1626891  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$5.45 
Food/Drink,Fast Food,1/23/2023,"olo.com      ,FL",POLLO TROPICAL,"POLLO TROPICAL 10048 OLO olo.com      ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$9.07 
Food/Drink,Fast Food,1/18/2023,"156-1844384  ,FL",MCDONALD'S,"McDonalds 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$7.27 
Food/Drink,Fast Food,1/11/2023,"156-1844384  ,FL",MCDONALD'S,"McDonalds 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$3.74 
Food/Drink,Fast Food,1/9/2023,"156-1844384  ,FL",MCDONALD'S,"McDonalds 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$5.89 
Food/Drink,Fast Food,1/9/2023,"195-4583263  ,FL",MCDONALD'S,"McDonalds 37016 195-4583263  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$192.13 
Food/Drink,Fast Food,12/30/2022,"156-1630463  ,FL",MCDONALD'S,"McDonalds 28730 156-1630463  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$5.45 
Food/Drink,Fast Food,12/24/2022,"156-1844384  ,FL",MCDONALD'S,"McDonalds 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$8.45 
Food/Drink,Fast Food,12/22/2022,"RIVIERA BEACH,FL",CHINA WOK,"CHINA WOK RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$29.16 
Food/Drink,Fast Food,12/16/2022,"LAKE PARK    ,FL",DUNKIN,"DUNKIN #300243 LAKE PARK    ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$20.16 
Food/Drink,Fast Food,11/17/2022,"olo.com      ,FL",POLLO TROPICAL,"POLLO TROPICAL 10048 OLO olo.com      ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$79.55 
Food/Drink,Fast Food,10/26/2022,"RIVIERA BEACH,FL",CHINA WOK,"CHINA WOK RIVIERA BEACH,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$22.11 
Food/Drink,Fast Food,10/25/2022,"olo.com      ,FL",POLLO TROPICAL,"POLLO TROPICAL 10048 OLO olo.com      ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$18.69 
Food/Drink,Fast Food,10/24/2022,"156-1844384  ,FL",MCDONALD'S,"McDonald's 468 156-1844384  ,FL",WELLS FARGO AUTOGRAPH VISA(R) CARD ...2398,$8.86 
